Student_ID,Gender,Board_10th,Marks_10th,Board_12th,Marks_12th,Stream,Cgpa,Internship,Training,Backlog,Innovative_Project,Communication_Score,Technical_Course,Placement_Status
STU1001,M,State Board,66.8,CBSE,56.6,Civil Engineering,5.94,Yes,No,Yes,Yes,2,Yes,Placed
STU1002,M,State Board,82.9,State Board,69.7,Computer Science,7.43,No,Yes,No,Yes,4,No,Placed
STU1003,F,CBSE,59.0,CBSE,66.9,Chemical Engineering,6.98,No,Yes,No,Yes,4,Yes,Placed
STU1004,M,State Board,58.0,State Board,60.7,Arts,6.74,Yes,Yes,No,No,3,No,Not Placed
STU1005,M,ICSE,70.3,State Board,62.5,Arts,9.53,Yes,Yes,No,Yes,2,No,Placed
STU1006,F,CBSE,64.8,CBSE,87.8,Biotechnology,7.23,Yes,Yes,No,No,2,No,Placed
STU1007,M,ICSE,61.0,State Board,76.4,Medicine,6.63,No,No,No,Yes,5,No,Placed
STU1008,M,CBSE,82.0,State Board,69.8,Electrical Engineering,5.77,No,No,Yes,Yes,1,No,Not Placed
STU1009,M,ICSE,73.7,ICSE,50.2,Commerce,8.6,No,Yes,No,Yes,3,Yes,Placed
STU1010,M,State Board,68.9,CBSE,55.3,Information Technology,7.06,No,Yes,Yes,Yes,4,Yes,Not Placed
STU1011,M,State Board,75.4,State Board,57.8,Electronics,7.77,No,Yes,No,Yes,3,No,Not Placed
STU1012,F,State Board,74.4,CBSE,60.6,Arts,6.95,Yes,Yes,Yes,Yes,1,Yes,Not Placed
STU1013,M,ICSE,83.8,CBSE,75.3,Mechanical Engineering,8.61,No,Yes,No,No,2,Yes,Placed
STU1014,F,ICSE,72.7,State Board,52.5,Law,8.31,Yes,Yes,No,No,1,Yes,Placed
STU1015,M,ICSE,62.9,ICSE,61.7,Medicine,9.47,No,Yes,Yes,Yes,2,Yes,Placed
STU1016,M,ICSE,93.8,CBSE,67.8,Architecture,9.74,No,No,No,No,2,Yes,Placed
STU1017,M,State Board,68.5,CBSE,77.5,Electrical Engineering,7.66,Yes,Yes,No,Yes,2,Yes,Placed
STU1018,F,CBSE,95.5,State Board,61.6,Biotechnology,8.06,Yes,No,No,No,3,Yes,Placed
